item_id,name,category,subcategory,price,description,dietary_tags,calories,preparation_time,popularity_score,seasonal,time_preference,budget_category,image_url
1,Mousse au Chocolat,dessert,chocolate,200,Rich chocolate mousse served in a glass cup,"vegetarian,sweet",350,5,0.85,all,evening,mid,images/desserts/mousse_chocolat.jpg
2,Fondant au chocolat,dessert,chocolate,250,Dark chocolate fondant with gooey center,"vegetarian,sweet",420,8,0.78,all,evening,mid,images/desserts/fondant_chocolat.jpg
3,Cheese cup Oreo,dessert,cheesecake,300,Layered dessert topped with crushed Oreo cookies,"vegetarian,sweet",280,6,0.72,all,afternoon,mid,images/desserts/cheese_cup_oreo.jpg
4,Tiramisu caramel,dessert,tiramisu,250,Layered dessert with caramel drizzle,"vegetarian,sweet",320,7,0.80,all,afternoon,mid,images/desserts/tiramisu_caramel.jpg
5,Tiramisu cacao,dessert,tiramisu,250,Classic tiramisu dusted with cocoa powder,"vegetarian,sweet",310,7,0.82,all,afternoon,mid,images/desserts/tiramisu_cacao.jpg
6,Cheese cup Lotus,dessert,cheesecake,350,Layered dessert topped with Lotus Biscoff cookies,"vegetarian,sweet",340,6,0.68,all,afternoon,high,images/desserts/cheese_cup_lotus.jpg
7,Cheese cup Fraise,dessert,cheesecake,300,Layered dessert with fresh strawberries,"vegetarian,sweet",260,6,0.75,spring,afternoon,mid,images/desserts/cheese_cup_fraise.jpg
8,Cheese cake Original,dessert,cheesecake,350,Classic cheesecake with graham cracker crust,"vegetarian,sweet",380,10,0.88,all,afternoon,high,images/desserts/cheesecake_original.jpg
9,Cheese cup Pistache,dessert,cheesecake,400,Green layered dessert with crushed pistachios,"vegetarian,sweet",360,6,0.65,all,afternoon,high,images/desserts/cheese_cup_pistache.jpg
10,Margherita,pizza,classic,350,Classic pizza with mozzarella and basil,"vegetarian",450,12,0.92,all,lunch,mid,images/pizza/margherita.jpg
11,Végétarienne,pizza,classic,350,Vegetarian pizza with mixed vegetables,"vegetarian",420,12,0.85,all,lunch,mid,images/pizza/vegetarienne.jpg
12,Végétarienne champignons,pizza,classic,450,Vegetarian pizza with mushrooms,"vegetarian",480,12,0.78,all,lunch,mid,images/pizza/vegetarienne_champignons.jpg
13,3 fromage,pizza,classic,500,Three-cheese pizza with mozzarella cheddar and gruyère,"vegetarian",520,12,0.80,all,lunch,mid,images/pizza/3_fromage.jpg
14,Tuna,pizza,seafood,450,Pizza with tuna and black olives,"pescatarian",480,12,0.72,all,lunch,mid,images/pizza/tuna.jpg
